parameter,fraction,t,classifcation,trout_class,type,use,water_type,threshold,direction
total_dissolved_solids,dissolved,mg/l,a,all,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,500,<=
total_dissolved_solids,dissolved,mg/l, aa,all,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,500,<=
total_dissolved_solids,dissolved,mg/l, aa-special,all,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,500,<=
total_dissolved_solids,dissolved,mg/l,a-special,all,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,200,<=
fecal_coliforms,total,cfu/100ml,a-special,all,none,source of water supply,flow; pond,200,<=
fecal_coliforms,total,cfu/100ml,d,all,none,fishing,flow; pond,500,<=
fecal_coliforms,total,cfu/100ml, c,all,none,fishing,flow; pond,500,<=
fecal_coliforms,total,cfu/100ml,b,all,none,fishing; secondary contact recreation; primary contact recreation,flow; pond,500,<=
fecal_coliforms,total,cfu/100ml,a,all,none,fishing; secondary contact recreation; primary contact recreation; source of water supply,flow; pond,500,<=
fecal_coliforms,total,cfu/100ml,sa,none,none,shellfishing,flow,NA,<=
fecal_coliforms,total,cfu/100ml,sd,none,none,fishing,flow,200,<=
fecal_coliforms,total,cfu/100ml, sc,none,none,fishing,flow,200,<=
fecal_coliforms,total,cfu/100ml,i,none,none,fishing; secondary contact recreation,flow,200,<=
fecal_coliforms,total,cfu/100ml,sb,none,none,fishing; secondary contact recreation; primary contact recreation,flow,200,<=
fluoride,total,ug/l,a,all,health_water-supply,source of water supply,flow; pond,1500,<=
fluoride,total,ug/l, a-special,all,health_water-supply,source of water supply,flow; pond,1500,<=
fluoride,total,ug/l, aa,all,health_water-supply,source of water supply,flow; pond,1500,<=
fluoride,total,ug/l, aa-special,all,health_water-supply,source of water supply,flow; pond,1500,<=
fluoride,total,ug/l,c,all,aquatic_chronic,fishing,flow; pond,NA,<=
fluoride,total,ug/l, b,all,aquatic_chronic,fishing,flow; pond,NA,<=
fluoride,total,ug/l, a,all,aquatic_chronic,fishing,flow; pond,NA,<=
fluoride,total,ug/l, a-special,all,aquatic_chronic,fishing,flow; pond,NA,<=
fluoride,total,ug/l, aa,all,aquatic_chronic,fishing,flow; pond,NA,<=
fluoride,total,ug/l, aa-special,all,aquatic_chronic,fishing,flow; pond,NA,<=
fluoride,total,ug/l,d,all,aquatic_acute,fishing,flow; pond,NA,<=
aluminum,dissolved,ug/l,c,all,aquatic_chronic,fishing,flow; pond,100,<=
aluminum,dissolved,ug/l, b,all,aquatic_chronic,fishing,flow; pond,100,<=
aluminum,dissolved,ug/l, a,all,aquatic_chronic,fishing,flow; pond,100,<=
aluminum,dissolved,ug/l, a-special,all,aquatic_chronic,fishing,flow; pond,100,<=
aluminum,dissolved,ug/l, aa,all,aquatic_chronic,fishing,flow; pond,100,<=
aluminum,dissolved,ug/l, aa-special,all,aquatic_chronic,fishing,flow; pond,100,<=
iron,total,ug/l,a,all,aesthetic_water-supply,source of water supply,flow; pond,300,<=
iron,total,ug/l, a-special,all,aesthetic_water-supply,source of water supply,flow; pond,300,<=
iron,total,ug/l, aa,all,aesthetic_water-supply,source of water supply,flow; pond,300,<=
iron,total,ug/l, aa-special,all,aesthetic_water-supply,source of water supply,flow; pond,300,<=
lead,total,ug/l,a,all,health_water-supply,source of water supply,flow; pond,50,<=
lead,total,ug/l, a-special,all,health_water-supply,source of water supply,flow; pond,50,<=
lead,total,ug/l, aa,all,health_water-supply,source of water supply,flow; pond,50,<=
lead,total,ug/l, aa-special,all,health_water-supply,source of water supply,flow; pond,50,<=
lead,dissolved,ug/l,c,all,aquatic_chronic,fishing,flow; pond,NA,<=
lead,dissolved,ug/l, b,all,aquatic_chronic,fishing,flow; pond,NA,<=
lead,dissolved,ug/l, a,all,aquatic_chronic,fishing,flow; pond,NA,<=
lead,dissolved,ug/l, a-special,all,aquatic_chronic,fishing,flow; pond,NA,<=
lead,dissolved,ug/l, aa,all,aquatic_chronic,fishing,flow; pond,NA,<=
lead,dissolved,ug/l, aa-special,all,aquatic_chronic,fishing,flow; pond,NA,<=
lead,dissolved,ug/l,d,all,aquatic_acute,fishing,flow; pond,NA,<=
lead,dissolved,ug/l, c,all,aquatic_acute,fishing,flow; pond,NA,<=
lead,dissolved,ug/l, b,all,aquatic_acute,fishing,flow; pond,NA,<=
lead,dissolved,ug/l, a,all,aquatic_acute,fishing,flow; pond,NA,<=
lead,dissolved,ug/l, a-special,all,aquatic_acute,fishing,flow; pond,NA,<=
lead,dissolved,ug/l, aa,all,aquatic_acute,fishing,flow; pond,NA,<=
lead,dissolved,ug/l, aa-special,all,aquatic_acute,fishing,flow; pond,NA,<=
magnesium,total,ug/l,a,all,health_water-supply,source of water supply,flow; pond,35000,<=
magnesium,total,ug/l, a-special,all,health_water-supply,source of water supply,flow; pond,35000,<=
magnesium,total,ug/l, aa,all,health_water-supply,source of water supply,flow; pond,35000,<=
magnesium,total,ug/l, aa-special,all,health_water-supply,source of water supply,flow; pond,35000,<=
manganese,total,ug/l,a,all,aesthetic_water-supply,source of water supply,flow; pond,300,<=
manganese,total,ug/l, a-special,all,aesthetic_water-supply,source of water supply,flow; pond,300,<=
manganese,total,ug/l, aa,all,aesthetic_water-supply,source of water supply,flow; pond,300,<=
manganese,total,ug/l, aa-special,all,aesthetic_water-supply,source of water supply,flow; pond,300,<=
mercury,total,ug/l,a,all,health_water-supply,source of water supply,flow; pond,0.7,<=
mercury,total,ug/l, a-special,all,health_water-supply,source of water supply,flow; pond,0.7,<=
mercury,total,ug/l, aa,all,health_water-supply,source of water supply,flow; pond,0.7,<=
mercury,total,ug/l, aa-special,all,health_water-supply,source of water supply,flow; pond,0.7,<=
mercury,dissolved,ug/l,d,all,health_fish-consumption,fishing,flow; pond,7.00E-04,<=
mercury,dissolved,ug/l, c,all,health_fish-consumption,fishing,flow; pond,7.00E-04,<=
mercury,dissolved,ug/l, b,all,health_fish-consumption,fishing,flow; pond,7.00E-04,<=
mercury,dissolved,ug/l, a,all,health_fish-consumption,fishing,flow; pond,7.00E-04,<=
mercury,dissolved,ug/l, a-special,all,health_fish-consumption,fishing,flow; pond,7.00E-04,<=
mercury,dissolved,ug/l, aa,all,health_fish-consumption,fishing,flow; pond,7.00E-04,<=
mercury,dissolved,ug/l, aa-special,all,health_fish-consumption,fishing,flow; pond,7.00E-04,<=
mercury,dissolved,ug/l,sd,none,health_fish-consumption,fishing,flow,7.00E-04,<=
mercury,dissolved,ug/l, sc,none,health_fish-consumption,fishing,flow,7.00E-04,<=
