parameter,fraction,units,class,class_type,trout_class,spatial_extent,sampling_period,sampling_period_units,type,use,water_type,standard_type,narrative,wqs_threshold,wqs_threshold_formula,wqs_threshold_x_column,wqs_threshold_y_column,statistic,min_n,block,direction,threshold,t,summarize_rows,summarize_rows_operator,classification,calculation
cadmium,total,ug/l,a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,health_water-supply,source of water supply,flow; pond,water_quality_standard,5 ug/L,none,,none,none,none,1,single,<=,5,ug/l,FALSE,,a,
cadmium,total,ug/l,a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,health_water-supply,source of water supply,flow; pond,water_quality_standard,5 ug/L,none,,none,none,none,1,single,<=,5,ug/l,FALSE,,a-special,
cadmium,total,ug/l,a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,health_water-supply,source of water supply,flow; pond,water_quality_standard,5 ug/L,none,,none,none,none,1,single,<=,5,ug/l,FALSE,,aa,
cadmium,total,ug/l,a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,health_water-supply,source of water supply,flow; pond,water_quality_standard,5 ug/L,none,,none,none,none,1,single,<=,5,ug/l,FALSE,,aa-special,
cadmium,dissolved,ug/l,c; b; a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,(0.85) exp(0.7852 [ln (ppm hardness)] - 2.715),thresh_hardness_correction, 0.85 * exp(0.7852 * log(x) - 2.715),result_numeric_hardness,none,none,1,single,<=,NA,ug/l,FALSE,,c,yes
cadmium,dissolved,ug/l,c; b; a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,(0.85) exp(0.7852 [ln (ppm hardness)] - 2.715),thresh_hardness_correction, 0.85 * exp(0.7852 * log(x) - 2.715),result_numeric_hardness,none,none,1,single,<=,NA,ug/l,FALSE,,b,yes
cadmium,dissolved,ug/l,c; b; a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,(0.85) exp(0.7852 [ln (ppm hardness)] - 2.715),thresh_hardness_correction, 0.85 * exp(0.7852 * log(x) - 2.715),result_numeric_hardness,none,none,1,single,<=,NA,ug/l,FALSE,,a,yes
cadmium,dissolved,ug/l,c; b; a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,(0.85) exp(0.7852 [ln (ppm hardness)] - 2.715),thresh_hardness_correction, 0.85 * exp(0.7852 * log(x) - 2.715),result_numeric_hardness,none,none,1,single,<=,NA,ug/l,FALSE,,a-special,yes
cadmium,dissolved,ug/l,c; b; a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,(0.85) exp(0.7852 [ln (ppm hardness)] - 2.715),thresh_hardness_correction, 0.85 * exp(0.7852 * log(x) - 2.715),result_numeric_hardness,none,none,1,single,<=,NA,ug/l,FALSE,,aa,yes
cadmium,dissolved,ug/l,c; b; a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,(0.85) exp(0.7852 [ln (ppm hardness)] - 2.715),thresh_hardness_correction, 0.85 * exp(0.7852 * log(x) - 2.715),result_numeric_hardness,none,none,1,single,<=,NA,ug/l,FALSE,,aa-special,yes
cadmium,dissolved,ug/l,d; c; b; a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow; pond,water_quality_standard,(0.85) exp(1.128 [ln (ppm hardness)] - 3.6867),thresh_hardness_correction, 0.85 * exp(1.128 * log(x) - 3.6867),result_numeric_hardness,none,none,1,single,<=,NA,ug/l,FALSE,,d,yes
cadmium,dissolved,ug/l,d; c; b; a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow; pond,water_quality_standard,(0.85) exp(1.128 [ln (ppm hardness)] - 3.6867),thresh_hardness_correction, 0.85 * exp(1.128 * log(x) - 3.6867),result_numeric_hardness,none,none,1,single,<=,NA,ug/l,FALSE,,c,yes
cadmium,dissolved,ug/l,d; c; b; a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow; pond,water_quality_standard,(0.85) exp(1.128 [ln (ppm hardness)] - 3.6867),thresh_hardness_correction, 0.85 * exp(1.128 * log(x) - 3.6867),result_numeric_hardness,none,none,1,single,<=,NA,ug/l,FALSE,,b,yes
cadmium,dissolved,ug/l,d; c; b; a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow; pond,water_quality_standard,(0.85) exp(1.128 [ln (ppm hardness)] - 3.6867),thresh_hardness_correction, 0.85 * exp(1.128 * log(x) - 3.6867),result_numeric_hardness,none,none,1,single,<=,NA,ug/l,FALSE,,a,yes
cadmium,dissolved,ug/l,d; c; b; a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow; pond,water_quality_standard,(0.85) exp(1.128 [ln (ppm hardness)] - 3.6867),thresh_hardness_correction, 0.85 * exp(1.128 * log(x) - 3.6867),result_numeric_hardness,none,none,1,single,<=,NA,ug/l,FALSE,,a-special,yes
cadmium,dissolved,ug/l,d; c; b; a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,aquatic_acute,fishing,flow; pond,water_quality_standard,(0.85) exp(1.128 [ln (ppm hardness)] - 3.6867),thresh_hardness_correction, 0.85 * exp(1.128 * log(x) - 3.6867),result_numeric_hardness,none,none,1,single,<=,NA,ug/l,FALSE,,aa,yes
