,Characteristic.Name,SAMPLE_DATE,Depth,Result.Value,Result.Unit,SITE_PWL_ID,SITE_HISTORY_ID
98388,TEMPERATURE,7/16/2013,3.01,26.9,deg C,1306-0037,sturgeon_pool
98389,TEMPERATURE,7/16/2013,9.02,26.08,deg C,1306-0037,sturgeon_pool
98390,TEMPERATURE,7/16/2013,11,25.64,deg C,1306-0037,sturgeon_pool
98391,TEMPERATURE,7/16/2013,18.07,21.07,deg C,1306-0037,sturgeon_pool
98392,TEMPERATURE,7/16/2013,13.97,22.65,deg C,1306-0037,sturgeon_pool
98393,TEMPERATURE,7/16/2013,7.02,26.3,deg C,1306-0037,sturgeon_pool
98394,TEMPERATURE,7/16/2013,4.01,26.78,deg C,1306-0037,sturgeon_pool
98395,TEMPERATURE,7/16/2013,14.97,22.33,deg C,1306-0037,sturgeon_pool
98396,TEMPERATURE,7/16/2013,1.03,27.76,deg C,1306-0037,sturgeon_pool
98397,TEMPERATURE,7/16/2013,13.06,23.15,deg C,1306-0037,sturgeon_pool
98398,TEMPERATURE,7/16/2013,16.08,22.02,deg C,1306-0037,sturgeon_pool
98399,TEMPERATURE,7/16/2013,8,26.17,deg C,1306-0037,sturgeon_pool
98400,TEMPERATURE,7/16/2013,10,25.89,deg C,1306-0037,sturgeon_pool
98401,TEMPERATURE,7/16/2013,12.01,24.44,deg C,1306-0037,sturgeon_pool
98402,TEMPERATURE,7/16/2013,5.07,26.58,deg C,1306-0037,sturgeon_pool
98403,TEMPERATURE,8/13/2013,1,22.9,deg C,1306-0037,sturgeon_pool
98404,TEMPERATURE,8/13/2013,0,22.7,deg C,1306-0037,sturgeon_pool
98405,TEMPERATURE,8/13/2013,9,22.5,deg C,1306-0037,sturgeon_pool
98406,TEMPERATURE,8/13/2013,22,20.8,deg C,1306-0037,sturgeon_pool
98407,TEMPERATURE,8/13/2013,21,22,deg C,1306-0037,sturgeon_pool
98408,TEMPERATURE,8/13/2013,14,22.5,deg C,1306-0037,sturgeon_pool
98409,TEMPERATURE,8/13/2013,15,22.5,deg C,1306-0037,sturgeon_pool
98410,TEMPERATURE,8/13/2013,17,22.3,deg C,1306-0037,sturgeon_pool
98411,TEMPERATURE,8/13/2013,7,22.6,deg C,1306-0037,sturgeon_pool
98412,TEMPERATURE,8/13/2013,18,22.3,deg C,1306-0037,sturgeon_pool
98413,TEMPERATURE,8/13/2013,4,22.7,deg C,1306-0037,sturgeon_pool
98414,TEMPERATURE,8/13/2013,16,22.4,deg C,1306-0037,sturgeon_pool
98415,TEMPERATURE,8/13/2013,20,22.2,deg C,1306-0037,sturgeon_pool
98416,TEMPERATURE,8/13/2013,3,22.7,deg C,1306-0037,sturgeon_pool
98417,TEMPERATURE,8/13/2013,10,22.5,deg C,1306-0037,sturgeon_pool
98418,TEMPERATURE,8/13/2013,12,22.5,deg C,1306-0037,sturgeon_pool
98419,TEMPERATURE,8/13/2013,19,22.3,deg C,1306-0037,sturgeon_pool
98420,TEMPERATURE,8/13/2013,11,22.6,deg C,1306-0037,sturgeon_pool
98421,TEMPERATURE,8/13/2013,13,22.5,deg C,1306-0037,sturgeon_pool
98422,TEMPERATURE,8/13/2013,8,22.6,deg C,1306-0037,sturgeon_pool
98423,TEMPERATURE,9/11/2013,0.98,22.94,deg C,1306-0037,sturgeon_pool
98424,TEMPERATURE,9/11/2013,14.94,21.32,deg C,1306-0037,sturgeon_pool
98425,TEMPERATURE,9/11/2013,16.02,21.32,deg C,1306-0037,sturgeon_pool
98426,TEMPERATURE,9/11/2013,9.03,21.61,deg C,1306-0037,sturgeon_pool
98427,TEMPERATURE,9/11/2013,2.05,22.72,deg C,1306-0037,sturgeon_pool
98428,TEMPERATURE,9/11/2013,5.05,22.02,deg C,1306-0037,sturgeon_pool
98429,TEMPERATURE,9/11/2013,6.98,21.73,deg C,1306-0037,sturgeon_pool
98430,TEMPERATURE,9/11/2013,10.99,21.48,deg C,1306-0037,sturgeon_pool
98431,TEMPERATURE,9/11/2013,13.03,21.41,deg C,1306-0037,sturgeon_pool
98432,TEMPERATURE,9/11/2013,0.07,23.04,deg C,1306-0037,sturgeon_pool
98433,TEMPERATURE,9/11/2013,8,21.67,deg C,1306-0037,sturgeon_pool
98434,TEMPERATURE,9/7/2012,,25.12,deg C,1306-0037,sturgeon_pool
98435,TEMPERATURE,6/18/2013,,20.1875,deg C,1306-0037,sturgeon_pool
98436,TEMPERATURE,7/16/2013,,27.76,deg C,1306-0037,sturgeon_pool
98437,TEMPERATURE,8/13/2013,,22.76666667,deg C,1306-0037,sturgeon_pool
98438,TEMPERATURE,9/11/2013,,22.99,deg C,1306-0037,sturgeon_pool
98439,TEMPERATURE,8/12/2019,11.027,24.126,deg C,1306-0037,sturgeon_pool
98440,TEMPERATURE,9/3/2019,4.261,24.55,deg C,1306-0037,sturgeon_pool
98441,TEMPERATURE,7/22/2019,3.498,29.111,deg C,1306-0037,sturgeon_pool
98442,TEMPERATURE,7/22/2019,12.792,20.987,deg C,1306-0037,sturgeon_pool
98443,TEMPERATURE,7/22/2019,14.3,15.774,deg C,1306-0037,sturgeon_pool
98444,TEMPERATURE,7/22/2019,8.196,27.684,deg C,1306-0037,sturgeon_pool
98445,TEMPERATURE,7/22/2019,4.501,28.45,deg C,1306-0037,sturgeon_pool
98446,TEMPERATURE,7/22/2019,14.435,16.612,deg C,1306-0037,sturgeon_pool
98447,TEMPERATURE,8/12/2019,7.974,24.74,deg C,1306-0037,sturgeon_pool
98448,TEMPERATURE,8/12/2019,6.356,24.981,deg C,1306-0037,sturgeon_pool
98449,TEMPERATURE,8/12/2019,12.958,20.832,deg C,1306-0037,sturgeon_pool
98450,TEMPERATURE,8/12/2019,13.867,17.392,deg C,1306-0037,sturgeon_pool
98451,TEMPERATURE,8/12/2019,10.188,24.525,deg C,1306-0037,sturgeon_pool
98452,TEMPERATURE,8/12/2019,9.055,24.639,deg C,1306-0037,sturgeon_pool
98453,TEMPERATURE,8/12/2019,8.026,24.718,deg C,1306-0037,sturgeon_pool
98454,TEMPERATURE,8/12/2019,1.133,25.364,deg C,1306-0037,sturgeon_pool
98455,TEMPERATURE,8/12/2019,1.529,25.648,deg C,1306-0037,sturgeon_pool
98456,TEMPERATURE,8/12/2019,-0.031,25.802,deg C,1306-0037,sturgeon_pool
98457,TEMPERATURE,8/12/2019,4.017,25.219,deg C,1306-0037,sturgeon_pool
98458,TEMPERATURE,8/12/2019,12.158,23.203,deg C,1306-0037,sturgeon_pool
98459,TEMPERATURE,8/12/2019,2.984,25.227,deg C,1306-0037,sturgeon_pool
98460,TEMPERATURE,8/12/2019,13.708,18.66,deg C,1306-0037,sturgeon_pool
98461,TEMPERATURE,8/12/2019,12.95,20.391,deg C,1306-0037,sturgeon_pool
98462,TEMPERATURE,8/12/2019,9.058,24.608,deg C,1306-0037,sturgeon_pool
98463,TEMPERATURE,8/12/2019,2.945,25.238,deg C,1306-0037,sturgeon_pool
98464,TEMPERATURE,9/3/2019,11.387,24.265,deg C,1306-0037,sturgeon_pool
98465,TEMPERATURE,9/3/2019,14.769,19.546,deg C,1306-0037,sturgeon_pool
98466,TEMPERATURE,7/22/2019,6.284,28.047,deg C,1306-0037,sturgeon_pool
98467,TEMPERATURE,7/22/2019,12.783,20.431,deg C,1306-0037,sturgeon_pool
98468,TEMPERATURE,7/22/2019,1.053,29.616,deg C,1306-0037,sturgeon_pool
98469,TEMPERATURE,8/12/2019,12.935,20.484,deg C,1306-0037,sturgeon_pool
98470,TEMPERATURE,8/12/2019,0.975,25.397,deg C,1306-0037,sturgeon_pool
98471,TEMPERATURE,8/12/2019,1.473,25.34,deg C,1306-0037,sturgeon_pool
98472,TEMPERATURE,7/22/2019,3.495,28.664,deg C,1306-0037,sturgeon_pool
98473,TEMPERATURE,8/12/2019,12.942,20.457,deg C,1306-0037,sturgeon_pool
98474,TEMPERATURE,8/12/2019,9.068,24.612,deg C,1306-0037,sturgeon_pool
98475,TEMPERATURE,9/3/2019,14.357,21.532,deg C,1306-0037,sturgeon_pool
98476,TEMPERATURE,7/22/2019,2.505,29.515,deg C,1306-0037,sturgeon_pool
98477,TEMPERATURE,7/22/2019,10.931,26.804,deg C,1306-0037,sturgeon_pool
98478,TEMPERATURE,7/22/2019,-0.139,29.608,deg C,1306-0037,sturgeon_pool
98479,TEMPERATURE,7/22/2019,11.857,23.549,deg C,1306-0037,sturgeon_pool
98480,TEMPERATURE,7/22/2019,13.699,17.244,deg C,1306-0037,sturgeon_pool
98481,TEMPERATURE,7/22/2019,14.287,15.737,deg C,1306-0037,sturgeon_pool
98482,TEMPERATURE,7/22/2019,11.864,24.257,deg C,1306-0037,sturgeon_pool
98483,TEMPERATURE,8/12/2019,11.018,24.128,deg C,1306-0037,sturgeon_pool
98484,TEMPERATURE,8/12/2019,10.143,24.401,deg C,1306-0037,sturgeon_pool
98485,TEMPERATURE,8/12/2019,7.884,24.791,deg C,1306-0037,sturgeon_pool
98486,TEMPERATURE,8/12/2019,1.279,25.338,deg C,1306-0037,sturgeon_pool
98487,TEMPERATURE,9/3/2019,12.529,23.989,deg C,1306-0037,sturgeon_pool
98488,TEMPERATURE,9/3/2019,2.862,24.738,deg C,1306-0037,sturgeon_pool
98489,TEMPERATURE,9/3/2019,0.784,25.001,deg C,1306-0037,sturgeon_pool
98490,TEMPERATURE,9/3/2019,9.37,24.443,deg C,1306-0037,sturgeon_pool
98491,TEMPERATURE,9/7/2012,14.04,18.92,deg C,1306-0037,sturgeon_pool
98492,TEMPERATURE,7/16/2013,16.96,21.74,deg C,1306-0037,sturgeon_pool
98493,TEMPERATURE,9/11/2013,2.05,22.74,deg C,1306-0037,sturgeon_pool
98494,TEMPERATURE,7/22/2019,-0.141,29.608,deg C,1306-0037,sturgeon_pool
98495,TEMPERATURE,8/12/2019,9.078,24.703,deg C,1306-0037,sturgeon_pool
98496,TEMPERATURE,9/3/2019,6.203,24.516,deg C,1306-0037,sturgeon_pool
98497,TEMPERATURE,8/12/2019,7.012,24.94,deg C,1306-0037,sturgeon_pool
98498,TEMPERATURE,8/12/2019,12.961,21.397,deg C,1306-0037,sturgeon_pool
98499,TEMPERATURE,8/12/2019,12.026,23.381,deg C,1306-0037,sturgeon_pool
