SAMPLE_EVENT_INFO_HISTORY_ID,EVENT_SMAS_ID,SITE_ID,Date,SEIH_YSI_METER_ID,PARAMETER_NAME,PCODE,RESULT,unit,QLFR_NOTE,VALIDATOR_QUAL,VALIDATOR_QUAL_REASON,VALIDATION_DATE
112,01-BUFC-2.2_19880629,01-BUFC-2.2,6/29/1988,,PH,U00400,9.2,std units,,,,
113,01-BUFC-2.2_19930818,01-BUFC-2.2,8/18/1993,,TEMPERATURE,U00010,29.9,deg C,,,,
114,01-BUFC-2.2_19930818,01-BUFC-2.2,8/18/1993,,CONDUCTANCE,U00094,425,uS/cm,,,,
115,01-BUFC-2.2_19930818,01-BUFC-2.2,8/18/1993,,DISSOLVED_OXYGEN,U00300,7.7,mg/L,,,,
116,01-BUFC-2.2_19930818,01-BUFC-2.2,8/18/1993,,PH,U00400,8.6,std units,,,,
117,01-BUFC-2.2_19940823,01-BUFC-2.2,8/23/1994,,TEMPERATURE,U00010,27.5,deg C,,,,
118,01-BUFC-2.2_19940823,01-BUFC-2.2,8/23/1994,,CONDUCTANCE,U00094,413,uS/cm,,,,
119,01-BUFC-2.2_19940823,01-BUFC-2.2,8/23/1994,,DISSOLVED_OXYGEN,U00300,8.9,mg/L,,,,
120,01-BUFC-2.2_19940823,01-BUFC-2.2,8/23/1994,,PH,U00400,8.6,std units,,,,
121,01-BUFC-2.2_20000913,01-BUFC-2.2,9/13/2000,,TEMPERATURE,U00010,17.6,deg C,,,,
122,01-BUFC-2.2_20000913,01-BUFC-2.2,9/13/2000,,CONDUCTANCE,U00094,477,uS/cm,,,,
123,01-BUFC-2.2_20000913,01-BUFC-2.2,9/13/2000,,DISSOLVED_OXYGEN,U00300,8.9,mg/L,,,,
124,01-BUFC-2.2_20000913,01-BUFC-2.2,9/13/2000,,PH,U00400,8,std units,,,,
125,01-BUFC-2.2_20010703,01-BUFC-2.2,7/3/2001,,TEMPERATURE,U00010,18.7,deg C,,,,
126,01-BUFC-2.2_20010703,01-BUFC-2.2,7/3/2001,,CONDUCTANCE,U00094,464,uS/cm,,,,
127,01-BUFC-2.2_20010703,01-BUFC-2.2,7/3/2001,,DISSOLVED_OXYGEN,U00300,9.6,mg/L,,,,
128,01-BUFC-2.2_20010703,01-BUFC-2.2,7/3/2001,,PH,U00400,8,std units,,,,
129,01-BUFC-2.2_20050912,01-BUFC-2.2,9/12/2005,,TEMPERATURE,U00010,25,deg C,,,,
130,01-BUFC-2.2_20050912,01-BUFC-2.2,9/12/2005,,CONDUCTANCE,U00094,460,uS/cm,,,,
131,01-BUFC-2.2_20050912,01-BUFC-2.2,9/12/2005,,DISSOLVED_OXYGEN,U00300,8.5,mg/L,,,,
132,01-BUFC-2.2_20050912,01-BUFC-2.2,9/12/2005,,PH,U00400,8.3,std units,,,,
133,01-BUFC-2.2_20060822,01-BUFC-2.2,8/22/2006,,TEMPERATURE,U00010,25.8,deg C,,,,
134,01-BUFC-2.2_20060822,01-BUFC-2.2,8/22/2006,,CONDUCTANCE,U00094,468,uS/cm,,,,
135,01-BUFC-2.2_20060822,01-BUFC-2.2,8/22/2006,,DISSOLVED_OXYGEN,U00300,9.5,mg/L,,,,
136,01-BUFC-2.2_20060822,01-BUFC-2.2,8/22/2006,,PH,U00400,8.26,std units,,,,
137,01-BUFC-2.2_20060822,01-BUFC-2.2,8/22/2006,,SALINITY,U00480,0.22,ppt,,,,
138,01-BUFC-2.2_20100824,01-BUFC-2.2,8/24/2010,,TEMPERATURE,U00010,26,deg C,,,,
139,01-BUFC-2.2_20100824,01-BUFC-2.2,8/24/2010,,CONDUCTANCE,U00094,505,uS/cm,,,,
140,01-BUFC-2.2_20100824,01-BUFC-2.2,8/24/2010,,DISSOLVED_OXYGEN,U00300,8.5,mg/L,,,,
141,01-BUFC-2.2_20100824,01-BUFC-2.2,8/24/2010,,PH,U00400,8.9,std units,,,,
142,01-BUFC-2.2_20100824,01-BUFC-2.2,8/24/2010,,PCT_SATURATION,U00301,104,%,,,,
143,01-BUFC-2.2_20100824,01-BUFC-2.2,8/24/2010,,SALINITY,U00480,0.24,ppt,,,,
144,01-BUFC-2.2_20150805,01-BUFC-2.2,8/5/2015,,TEMPERATURE,U00010,21.4,deg C,,,,
145,01-BUFC-2.2_20150805,01-BUFC-2.2,8/5/2015,,CONDUCTANCE,U00094,527,uS/cm,,,,
146,01-BUFC-2.2_20150805,01-BUFC-2.2,8/5/2015,,DISSOLVED_OXYGEN,U00300,9.7,mg/L,,,,
147,01-BUFC-2.2_20150805,01-BUFC-2.2,8/5/2015,,PH,U00400,8.2,std units,,,,
148,01-BUFC-7.3_19870903,01-BUFC-7.3,9/3/1987,,TEMPERATURE,U00010,22,deg C,,,,
149,01-BUFC-7.3_19870903,01-BUFC-7.3,9/3/1987,,CONDUCTANCE,U00094,315,uS/cm,,,,
150,01-BUFC-7.3_19870903,01-BUFC-7.3,9/3/1987,,DISSOLVED_OXYGEN,U00300,10,mg/L,,,,
151,01-BUFC-21.2_20000913,01-BUFC-21.2,9/13/2000,,TEMPERATURE,U00010,18.71,deg C,,,,
152,01-BUFC-21.2_20000913,01-BUFC-21.2,9/13/2000,,CONDUCTANCE,U00094,412,uS/cm,,,,
153,01-BUFC-21.2_20000913,01-BUFC-21.2,9/13/2000,,DISSOLVED_OXYGEN,U00300,8.67,mg/L,,,,
154,01-BUFC-21.2_20000913,01-BUFC-21.2,9/13/2000,,PH,U00400,8.2,std units,,,,
155,01-BUFC-21.2_20000913,01-BUFC-21.2,9/13/2000,,SALINITY,U00480,0.21,ppt,,,,
156,01-BUFC-21.2_20100825,01-BUFC-21.2,8/25/2010,,TEMPERATURE,U00010,22.09,deg C,,,,
157,01-BUFC-21.2_20100825,01-BUFC-21.2,8/25/2010,,CONDUCTANCE,U00094,474,uS/cm,,,,
158,01-BUFC-21.2_20100825,01-BUFC-21.2,8/25/2010,,DISSOLVED_OXYGEN,U00300,8.81,mg/L,,,,
159,01-BUFC-21.2_20100825,01-BUFC-21.2,8/25/2010,,PH,U00400,8.02,std units,,,,
160,01-BUFC-21.2_20100825,01-BUFC-21.2,8/25/2010,,PCT_SATURATION,U00301,105.6,%,,,,
161,01-BUFC-37.8_20150806,01-BUFC-37.8,8/6/2015,,TEMPERATURE,U00010,15.7,deg C,,,,
162,01-BUFC-37.8_20150806,01-BUFC-37.8,8/6/2015,,CONDUCTANCE,U00094,470,uS/cm,,,,
163,01-BUFC-37.8_20150806,01-BUFC-37.8,8/6/2015,,DISSOLVED_OXYGEN,U00300,9.9,mg/L,,,,
164,01-BUFC-37.8_20150806,01-BUFC-37.8,8/6/2015,,PH,U00400,8.1,std units,,,,
165,01-BUFC_T48-0.2_20100825,01-BUFC_T48-0.2,8/25/2010,,TEMPERATURE,U00010,18.1,deg C,,,,
166,01-BUFC_T48-0.2_20100825,01-BUFC_T48-0.2,8/25/2010,,CONDUCTANCE,U00094,572,uS/cm,,,,
167,01-BUFC_T48-0.2_20100825,01-BUFC_T48-0.2,8/25/2010,,DISSOLVED_OXYGEN,U00300,7.29,mg/L,,,,
168,01-BUFC_T48-0.2_20100825,01-BUFC_T48-0.2,8/25/2010,,PH,U00400,7.2,std units,,,,
169,01-BUFC_T48-0.2_20100825,01-BUFC_T48-0.2,8/25/2010,,PCT_SATURATION,U00301,81.1,%,,,,
170,01-BUFC_T59-0.8_20150806,01-BUFC_T59-0.8,8/6/2015,,TEMPERATURE,U00010,15.2,deg C,,,,
171,01-BUFC_T59-0.8_20150806,01-BUFC_T59-0.8,8/6/2015,,CONDUCTANCE,U00094,554,uS/cm,,,,
172,01-BUFC_T59-0.8_20150806,01-BUFC_T59-0.8,8/6/2015,,DISSOLVED_OXYGEN,U00300,9.8,mg/L,,,,
173,01-BUFC_T59-0.8_20150806,01-BUFC_T59-0.8,8/6/2015,,PH,U00400,8.2,std units,,,,
174,01-BUFF-0.1_19820624,01-BUFF-0.1,6/24/1982,,TEMPERATURE,U00010,18,deg C,,,,
175,01-BUFF-0.1_19820624,01-BUFF-0.1,6/24/1982,,CONDUCTANCE,U00094,290,uS/cm,,,,
176,01-BUFF-0.1_19820624,01-BUFF-0.1,6/24/1982,,DISSOLVED_OXYGEN,U00300,4.8,mg/L,,,,
177,01-BUFF-0.1_19820624,01-BUFF-0.1,6/24/1982,,PH,U00400,7.3,std units,,,,
178,01-BUFF-0.1_19820729,01-BUFF-0.1,7/29/1982,,TEMPERATURE,U00010,24,deg C,,,,
179,01-BUFF-0.1_19820729,01-BUFF-0.1,7/29/1982,,CONDUCTANCE,U00094,390,uS/cm,,,,
180,01-BUFF-0.1_19820729,01-BUFF-0.1,7/29/1982,,DISSOLVED_OXYGEN,U00300,2.6,mg/L,,,,
181,01-BUFF-0.1_19820729,01-BUFF-0.1,7/29/1982,,PH,U00400,7.6,std units,,,,
182,01-BUFF-0.1_19820831,01-BUFF-0.1,8/31/1982,,TEMPERATURE,U00010,20,deg C,,,,
183,01-BUFF-0.1_19820831,01-BUFF-0.1,8/31/1982,,CONDUCTANCE,U00094,360,uS/cm,,,,
184,01-BUFF-0.1_19820831,01-BUFF-0.1,8/31/1982,,DISSOLVED_OXYGEN,U00300,4.1,mg/L,,,,
185,01-BUFF-0.1_19820831,01-BUFF-0.1,8/31/1982,,PH,U00400,7.6,std units,,,,
186,01-BUFF-0.1_19821006,01-BUFF-0.1,10/6/1982,,TEMPERATURE,U00010,16.5,deg C,,,,
187,01-BUFF-0.1_19821006,01-BUFF-0.1,10/6/1982,,CONDUCTANCE,U00094,310,uS/cm,,,,
188,01-BUFF-0.1_19821006,01-BUFF-0.1,10/6/1982,,DISSOLVED_OXYGEN,U00300,12,mg/L,,,,
189,01-BUFF-0.1_19821006,01-BUFF-0.1,10/6/1982,,PH,U00400,7.8,std units,,,,
190,01-BUFF-1.7_19820623,01-BUFF-1.7,6/23/1982,,TEMPERATURE,U00010,19,deg C,,,,
191,01-BUFF-1.7_19820623,01-BUFF-1.7,6/23/1982,,CONDUCTANCE,U00094,335,uS/cm,,,,
192,01-BUFF-1.7_19820623,01-BUFF-1.7,6/23/1982,,PH,U00400,7.7,std units,,,,
193,01-BUFF-1.7_19820728,01-BUFF-1.7,7/28/1982,,TEMPERATURE,U00010,25.5,deg C,,,,
194,01-BUFF-1.7_19820728,01-BUFF-1.7,7/28/1982,,CONDUCTANCE,U00094,380,uS/cm,,,,
195,01-BUFF-1.7_19820728,01-BUFF-1.7,7/28/1982,,DISSOLVED_OXYGEN,U00300,2.8,mg/L,,,,
196,01-BUFF-1.7_19820901,01-BUFF-1.7,9/1/1982,,TEMPERATURE,U00010,20,deg C,,,,
197,01-BUFF-1.7_19820901,01-BUFF-1.7,9/1/1982,,CONDUCTANCE,U00094,390,uS/cm,,,,
198,01-BUFF-1.7_19820901,01-BUFF-1.7,9/1/1982,,DISSOLVED_OXYGEN,U00300,3.5,mg/L,,,,
199,01-BUFF-1.7_19820901,01-BUFF-1.7,9/1/1982,,PH,U00400,7.5,std units,,,,
200,01-BUFF-1.7_19821006,01-BUFF-1.7,10/6/1982,,TEMPERATURE,U00010,16,deg C,,,,
201,01-BUFF-1.7_19821006,01-BUFF-1.7,10/6/1982,,CONDUCTANCE,U00094,370,uS/cm,,,,
202,01-BUFF-1.7_19821006,01-BUFF-1.7,10/6/1982,,DISSOLVED_OXYGEN,U00300,4.1,mg/L,,,,
203,01-BUFF-1.7_19821006,01-BUFF-1.7,10/6/1982,,PH,U00400,7.6,std units,,,,
204,01-BUFF-1.7_19870623,01-BUFF-1.7,6/23/1987,,TEMPERATURE,U00010,25,deg C,,,,
205,01-BUFF-1.7_19870623,01-BUFF-1.7,6/23/1987,,CONDUCTANCE,U00094,210,uS/cm,,,,
206,01-BUFF-1.7_19870623,01-BUFF-1.7,6/23/1987,,DISSOLVED_OXYGEN,U00300,7.7,mg/L,,,,
207,01-BUFF-1.7_19870728,01-BUFF-1.7,7/28/1987,,TEMPERATURE,U00010,24.5,deg C,,,,
208,01-BUFF-1.7_19870728,01-BUFF-1.7,7/28/1987,,CONDUCTANCE,U00094,250,uS/cm,,,,
209,01-BUFF-1.7_19870728,01-BUFF-1.7,7/28/1987,,DISSOLVED_OXYGEN,U00300,6,mg/L,,,,
